tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,paperless_billing,churn
51,106.7,5441.7,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,No,Yes,No
14,60.8,851.2,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,No phone service,No,No
71,75.17,5337.07,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,Male,0,No,Yes,Yes,No,Yes,No
60,45.39,2723.4,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,No,No,Yes
20,39.61,792.2,Month-to-month,Credit card,DSL,Yes,No,No,Yes,No,Male,0,Yes,Yes,Yes,Yes,No,Yes
23,70.55,1622.65,Month-to-month,Electronic check,DSL,No,Yes,Yes,Yes,Yes,Male,0,No,Yes,No,No phone service,No,No
2,79.5,159.0,Two year,Credit card,Fiber optic,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,No,Yes,Yes
21,53.93,1132.53,Month-to-month,Bank transfer,DSL,Yes,Yes,Yes,No,Yes,Female,0,No,Yes,Yes,Yes,Yes,No
52,76.94,4000.88,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,Yes,No,No
1,108.75,108.75,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,Yes,Yes
29,75.67,2194.43,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,Yes,Yes,No,Yes,No
37,92.08,3406.96,One year,Credit card,Fiber optic,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,Yes,No,No,No
1,100.53,100.53,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,No,No,No
63,118.87,7488.81,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,Female,0,No,No,Yes,Yes,No,Yes
59,80.32,4738.88,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,Yes,No,Yes
20,100.69,2013.8,Two year,Credit card,DSL,No,No,No,No,Yes,Male,0,No,No,Yes,Yes,No,Yes
32,116.26,3720.32,One year,Mailed check,Fiber optic,Yes,No,Yes,No,Yes,Female,0,Yes,No,Yes,Yes,Yes,No
57,114.44,6523.08,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,Yes,No,Female,0,No,No,Yes,Yes,No,Yes
21,34.11,716.31,One year,Bank transfer,Fiber optic,No,Yes,No,Yes,No,Male,0,No,No,Yes,No,Yes,No
48,60.64,2910.72,One year,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,No,Yes,Yes
58,52.4,3039.2,One year,Electronic check,DSL,Yes,Yes,No,No,No,Male,0,No,No,Yes,Yes,No,No
41,28.69,1176.29,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,Yes,No,No
59,83.32,4915.88,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,Yes,Yes,Yes
14,93.59,1310.26,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,No,Yes,Male,0,Yes,Yes,Yes,No,No,No
61,104.81,6393.41,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,Yes,No
61,32.28,1969.08,One year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,No,No
46,107.64,4951.44,One year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,Yes,No,No
61,84.29,5141.69,One year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,Yes,Yes
50,90.39,4519.5,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,Yes,No
54,111.06,5997.24,One year,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,Female,0,No,No,Yes,Yes,No,No
63,82.48,5196.24,One year,Electronic check,DSL,Yes,Yes,No,Yes,No,Female,0,No,Yes,Yes,Yes,No,No
2,53.59,107.18,One year,Credit card,Fiber optic,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,No,No,No
50,102.51,5125.5,One year,Credit card,Fiber optic,No,No,No,No,Yes,Male,0,Yes,No,Yes,Yes,Yes,No
6,56.31,337.86,One year,Mailed check,DSL,Yes,Yes,No,No,No,Female,0,No,No,Yes,No,No,Yes
20,23.42,468.4,Month-to-month,Credit card,DSL,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,No,No,No
38,103.07,3916.66,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,No,No,Yes
17,54.52,926.84,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,No,No
3,97.38,292.14,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,No,Yes,No
59,56.28,3320.52,One year,Electronic check,Fiber optic,No,No,No,No,No,Female,0,No,Yes,Yes,Yes,Yes,Yes
13,106.11,1379.43,One year,Bank transfer,DSL,No,No,No,No,No,Male,1,No,Yes,Yes,Yes,Yes,No
8,41.95,335.6,Month-to-month,Electronic check,DSL,Yes,No,No,No,Yes,Male,0,No,No,Yes,Yes,No,Yes
52,117.45,6107.4,Month-to-month,Credit card,DSL,Yes,No,No,No,No,Male,0,Yes,No,Yes,No,No,Yes
1,97.98,97.98,One year,Credit card,DSL,No,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,No,No,Yes
59,31.42,1853.78,Month-to-month,Bank transfer,DSL,No,Yes,Yes,No,Yes,Male,0,No,Yes,Yes,No,Yes,Yes
70,76.58,5360.6,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,No,Yes,No
43,118.54,5097.22,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,No,Male,0,Yes,Yes,Yes,No,Yes,Yes
7,67.11,469.77,Month-to-month,Bank transfer,DSL,No,Yes,Yes,No,Yes,Female,0,Yes,No,Yes,No,Yes,No
46,38.21,1757.66,Month-to-month,Mailed check,DSL,No,No,No,Yes,Yes,Female,0,Yes,Yes,No,No phone service,No,No
34,68.48,2328.32,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,Female,0,No,No,Yes,No,Yes,Yes
35,71.25,2493.75,Month-to-month,Mailed check,DSL,No,Yes,Yes,No,Yes,Female,0,No,Yes,No,No phone service,Yes,No
49,94.17,4614.33,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,No,No
3,89.88,269.64,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,No,Yes,No
1,60.26,60.26,One year,Electronic check,Fiber optic,No,No,No,No,No,Male,1,Yes,No,Yes,Yes,No,No
5,41.8,209.0,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,Yes,No,Female,0,No,No,Yes,Yes,No,No
53,84.51,4479.03,Month-to-month,Credit card,DSL,Yes,No,No,No,No,Female,0,No,No,No,No phone service,No,Yes
3,62.17,186.51,One year,Mailed check,Fiber optic,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,No,No,No
53,33.23,1761.19,Month-to-month,Mailed check,Fiber optic,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,Yes,No,Yes
62,110.06,6823.72,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,Yes,Female,0,No,Yes,No,No phone service,Yes,No
17,89.12,1515.04,Month-to-month,Electronic check,DSL,Yes,No,Yes,Yes,No,Male,0,No,No,Yes,No,Yes,No
43,88.32,3797.76,One year,Mailed check,Fiber optic,Yes,No,No,Yes,No,Female,0,Yes,No,Yes,Yes,No,No
33,102.26,3374.58,Month-to-month,Credit card,Fiber optic,Yes,No,No,No,No,Male,1,Yes,Yes,Yes,No,Yes,Yes
61,72.97,4451.17,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,No,No
13,101.51,1319.63,One year,Bank transfer,DSL,No,No,No,Yes,No,Male,0,No,No,Yes,Yes,Yes,No
47,69.81,3281.07,Month-to-month,Mailed check,DSL,Yes,Yes,No,Yes,Yes,Female,1,Yes,Yes,Yes,No,Yes,Yes
14,26.72,374.08,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,No,Yes,Yes
71,60.52,4296.92,One year,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,Yes,Yes,No
61,69.75,4254.75,Two year,Credit card,Fiber optic,No,No,No,No,No,Male,0,Yes,No,Yes,Yes,Yes,No
39,92.02,3588.78,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,No,No,Female,1,Yes,No,No,No phone service,Yes,Yes
52,30.66,1594.32,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Male,0,No,Yes,Yes,Yes,Yes,No
23,34.0,782.0,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,No,No
25,46.37,1159.25,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,No,Male,0,No,No,Yes,Yes,No,Yes
59,46.65,2752.35,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,No,No
40,93.22,3728.8,One year,Credit card,Fiber optic,No,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,Yes,Yes,No
28,45.07,1261.96,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,Yes,No
14,83.31,1166.34,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,Yes,No,Yes,No,No,Yes
44,69.43,3054.92,Month-to-month,Mailed check,DSL,Yes,No,No,No,Yes,Female,0,No,No,Yes,No,No,Yes
64,77.33,4949.12,One year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,Yes,No
70,103.81,7266.7,One year,Bank transfer,DSL,Yes,Yes,No,Yes,No,Female,0,No,Yes,Yes,No,No,No
8,60.44,483.52,One year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,Yes,No,No
0,97.09,0.0,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,No,Male,0,No,Yes,Yes,No,No,Yes
7,62.2,435.4,Month-to-month,Electronic check,DSL,No,Yes,Yes,Yes,No,Male,1,No,Yes,Yes,No,No,Yes
62,55.39,3434.18,One year,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,Female,1,No,No,Yes,No,Yes,No
10,115.86,1158.6,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,No,No phone service,No,Yes
7,38.44,269.08,Month-to-month,Bank transfer,DSL,Yes,Yes,No,No,No,Male,1,No,Yes,Yes,Yes,No,Yes
34,29.03,987.02,One year,Mailed check,Fiber optic,No,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,No,No,No
34,97.1,3301.4,Two year,Mailed check,Fiber optic,No,Yes,Yes,Yes,No,Female,0,Yes,Yes,Yes,Yes,No,No
32,26.82,858.24,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,Yes,No
4,103.71,414.84,One year,Mailed check,Fiber optic,No,No,No,Yes,No,Male,1,Yes,No,Yes,Yes,No,Yes
40,63.72,2548.8,Two year,Electronic check,DSL,No,Yes,No,No,No,Male,0,No,Yes,Yes,Yes,No,No
27,111.55,3011.85,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,Yes,Male,1,No,Yes,Yes,No,No,Yes
6,92.15,552.9,Month-to-month,Credit card,Fiber optic,No,No,No,Yes,No,Female,0,No,Yes,Yes,Yes,No,Yes
71,81.04,5753.84,Two year,Bank transfer,Fiber optic,No,No,No,No,Yes,Female,0,No,Yes,Yes,No,No,No
11,114.93,1264.23,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,No,Yes,No
33,59.66,1968.78,One year,Mailed check,DSL,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,No,No,No
32,115.41,3693.12,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,No,Male,0,No,Yes,Yes,Yes,No,No
47,33.5,1574.5,Month-to-month,Mailed check,DSL,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,Yes,Yes,Yes
22,68.38,1504.36,One year,Credit card,DSL,Yes,Yes,Yes,Yes,Yes,Female,0,No,Yes,Yes,No,No,No
